,Unnamed: 0,text,sense,label,ind,new_label,wordnet_sense
20,20,the brave dog therefore remained at the foot of the cliff while his master with his companions sought a refuge among the rocks .,"('remain', 'rester', 'permanecer')",2,4,2,1.0
21,21,"so saying , ayrton sat down in a corner of the room and remained silent .","('remain', 'rester', 'permanecer')",0,13,2,0.0
22,22,the brand disappeared ; the beauty alone remained .,"('remain', 'rester', 'quedar')",1,7,1,0.0
23,23,"ayrton remained in his corner , not joining the colonists .","('remain', 'rester', 'permanecer')",0,1,2,1.0
24,24,"fix did not look at the state of things in the same light . the storm greatly pleased him . his satisfaction would have been complete had the rangoon been forced to retreat before the violence of wind and waves . each delay filled him with hope , for it became more and more probable that fogg would be obliged to remain some days at hong kong ; and now the heavens themselves became his allies , with the gusts and squalls . it mattered not that they made him sea - sick -- he made no account of this inconvenience ; and , whilst his body was writhing under their effects , his spirit bounded with hopeful exultation .","('remain', 'rester', 'permanecer')",2,61,2,1.0
25,25,"i went to france , with a determination to remain there for the rest of my life .","('remain', 'rester', 'permanecer')",0,9,2,1.0
26,26,at last captain nemo remained the solitary survivor of all those who had taken refuge with him in the depths of the ocean .,"('remain', 'rester', 'quedar')",1,4,1,1.0
27,27,""" oh ciel ! que c'est beau ! "" and then remained absorbed in ecstatic contemplation .","('remain', 'rester', 'permanecer')",0,11,2,0.0
28,28,"it was useless to contemplate removing him to granite house , for he had expressed his wish to remain in the midst of those marvels of the "" nautilus "" which millions could not have purchased , and to wait there for that death which was swiftly approaching .","('remain', 'rester', 'permanecer')",2,18,2,1.0
29,29,""" yes , your eminence , "" said athos , while the two musketeers who had remained behind advanced hat in hand .","('remain', 'rester', 'quedar')",1,16,1,1.0
30,30,"gideon spilett wished to remain near him , in the event of a crisis coming on , but the dying man refused , saying , "" i shall live until to - morrow , sir . ""","('remain', 'rester', 'permanecer')",2,4,2,1.0
31,31,"both remained suspended , motionless and breathless , within twenty paces of the ground , while the patrol passed beneath them laughing and talking .","('remain', 'rester', 'permanecer')",2,1,2,0.0
32,32,"at two o’clock in the morning , our four adventurers left paris by the barriere st . denis . as long as it was dark they remained silent ; in spite of themselves they submitted to the influence of the obscurity , and apprehended ambushes on every side .","('remain', 'rester', 'permanecer')",2,26,2,0.0
33,33,"cyrus harding remained but a few minutes alone with captain nemo , and soon recalled his companions ; but he said nothing to them of the private matters which the dying man had confided to him .","('remain', 'rester', 'permanecer')",2,2,2,1.0
34,34,"the worship of the senses has often , and with much justice , been decried , men feeling a natural instinct of terror about passions and sensations that seem stronger than themselves , and that they are conscious of sharing with the less highly organized forms of existence . but it appeared to dorian gray that the true nature of the senses had never been understood , and that they had remained savage and animal merely because the world had sought to starve them into submission or to kill them by pain , instead of aiming at making them elements of a new spirituality , of which a fine instinct for beauty was to be the dominant characteristic .","('remain', 'rester', 'permanecer')",2,71,2,0.0
35,35,""" reckoning still further , that as long as you do me the honor to remain in my house i shall never speak to you about rent-- ""","('remain', 'rester', 'permanecer')",2,15,2,1.0
36,36,"at a hundred paces from the gates of calais , d’artagnan ’s horse gave out , and could not by any means be made to get up again , the blood flowing from his eyes and his nose . there still remained planchet ’s horse ; but he stopped short , and could not be made to move a step .","('remain', 'rester', 'quedar')",1,41,1,3.0
37,37,athos remained sitting .,"('remain', 'rester', 'permanecer')",2,1,2,0.0
38,38,"however , one chance yet remained ; it was that bob harvey , after all , would not venture his ship into the channel , and that he would keep outside the islet .","('remain', 'rester', 'quedar')",1,5,1,1.0
39,39,""" would you not wish , captain , that ayrton and i should remain here ? "" asked the sailor .","('remain', 'rester', 'quedar')",1,13,1,1.0
40,40,there only remained in the closet of the wounded duke laporte and patrick .,"('remain', 'rester', 'quedar')",1,2,1,1.0
41,41,"buckingham tried to smile a last time ; but death checked his thought , which remained engraved on his brow like a last kiss of love .","('remain', 'rester', 'quedar')",1,15,1,0.0
42,42,it was then that d’artagnan appreciated the favor the cardinal had conferred upon him in making him at last enter the musketeers -- for without that circumstance he would have been forced to remain in the camp while his companions left it .,"('remain', 'rester', 'permanecer')",2,33,2,1.0
43,43,"at eleven o'clock the locomotive 's whistle announced that they were approaching plum creek station . mr . fogg rose , and , followed by fix , went out upon the platform . passepartout accompanied him , carrying a pair of revolvers . aouda remained in the car , as pale as death .","('remain', 'rester', 'quedar')",1,44,1,1.0
44,44,"in the meantime , when nothing remained of the brig but a useless hulk , bad weather came on , which soon finished her .","('remain', 'rester', 'quedar')",1,6,1,3.0
45,45,"freed from the usual formalities by the affable smile and gallant manners of an old governor of the port , who kissed her hand , she only remained long enough at boulogne to put into the post a letter , conceived in the following terms :","('remain', 'rester', 'quedar')",1,27,1,1.0
46,46,""" do as you please , sir . but if you wish to do me a favour , you will remain with aouda . in case anything should happen to me-- ""","('remain', 'rester', 'quedar')",1,20,1,1.0
47,47,"but , fortunately the lava had spared the southern corner of the lake , containing all that remained of the drinking water of the island .","('remain', 'rester', 'quedar')",1,17,1,3.0
48,48,"jup went off to bed , but top remained in the room , and continued to utter low growls at intervals during the rest of the evening .","('remain', 'rester', 'quedar')",1,8,1,1.0
49,49,"the clerks surveyed him with great curiosity , and he , not knowing well what to say to this ascending and descending scale , remained tongue - tied .","('remain', 'rester', 'permanecer')",0,24,2,0.0
50,50,"the engineer had previously made known to him the result of the exploration which he had made the day before , and on this point the reporter shared harding 's opinion , that although he had found nothing , a secret still remained to be discovered !","('remain', 'rester', 'quedar')",1,42,1,2.0
51,51,it was all that remained of the structure of granite house !,"('remain', 'rester', 'quedar')",1,4,1,3.0
52,52,the queen remained for a short time to receive the compliments of the city dignitaries and to reply to the salutations of the ladies .,"('remain', 'rester', 'permanecer')",2,2,2,1.0
53,53,"but to the great astonishment of d’artagnan , the shutter remained closed . still more , the light which had shone for an instant disappeared , and all was again in obscurity .","('remain', 'rester', 'permanecer')",2,10,2,0.0
54,54,"d’artagnan remained for a moment motionless , asking himself where he could be ; but soon a ray of light which penetrated through the chamber , together with the warm and perfumed air which reached him from the same aperture , the conversation of two of three ladies in language at once respectful and refined , and the word "" majesty "" several times repeated , indicated clearly that he was in a closet attached to the queen ’s apartment .","('remain', 'rester', 'permanecer')",0,1,2,0.0
55,55,"then , observation being taken of what remained of this shoal , which must henceforward figure on the charts of the pacific , the order was given to make all sail .","('remain', 'rester', 'quedar')",1,7,1,2.0
56,56,"milady remained still in bed , petrified by surprise ; so many unexpected things happened to her all at once that for the first time she was at a loss .","('remain', 'rester', 'permanecer')",2,1,2,1.0
57,57,and she remained in bed with her eyes fixed .,"('remain', 'rester', 'permanecer')",0,2,2,1.0
58,58,"there , to conclude , all were happy , united in the present as they had been in the past ; but never could they forget that island upon which they had arrived poor and friendless , that island which , during four years had supplied all their wants , and of which there remained but a fragment of granite washed by the waves of the pacific , the tomb of him who had borne the name of captain nemo .","('remain', 'rester', 'quedar')",1,54,1,3.0
59,59,"aouda and he had remained , despite the cold , under the portico of the custom house . neither wished to leave the place ; both were anxious to see mr . fogg again .","('remain', 'rester', 'quedar')",1,4,1,1.0
60,60,"milady remained alone , with her eyes fixed upon the door . an instant later , the jingling of spurs was heard upon the stairs , steps drew near , the door opened , and a man appeared .","('remain', 'rester', 'quedar')",1,1,1,0.0
61,61,""" madam , you could not remain in india , and your safety could only be assured by bringing you to such a distance that your persecutors could not take you . ""","('remain', 'rester', 'permanecer')",2,6,2,1.0
62,62,the bell of the telegraph at granite house remained mute .,"('remain', 'rester', 'permanecer')",2,8,2,0.0
63,63,""" observe , it is probable that i may not be able to remain here . ""","('remain', 'rester', 'permanecer')",2,13,2,1.0
64,64,it was immediately decided that granite house should not be left alone and that neb should remain there .,"('remain', 'rester', 'permanecer')",0,16,2,1.0
65,65,"both went into the bedroom , and as the door of communication remained open , d’artagnan could hear milady for some time scolding her maid . she was at length appeased , and the conversation turned upon him while kitty was assisting her mistress .","('remain', 'rester', 'quedar')",1,12,1,0.0
66,66,"thus it had been agreed that cyrus harding , neb , and gideon spilett should remain at granite house , but an objection was raised , and spilett , who had not forgotten his business as reporter to the new york herald , having declared that he would go by swimming rather than lose such an opportunity , he was admitted to take a part in the voyage .","('remain', 'rester', 'quedar')",1,15,1,1.0
67,67,between the islet and the coast there only remained a narrow channel which would no doubt be easy to cross .,"('remain', 'rester', 'quedar')",1,8,1,3.0
68,68,""" four conveyed him away , i do n’t know where -- to the bastille or fort l’eveque . two remained with the men in black , who rummaged every place and took all the papers .","('remain', 'rester', 'quedar')",1,20,1,1.0
69,69,"as to athos , he remained unmoved .","('remain', 'rester', 'permanecer')",2,5,2,0.0
70,70,there remained athos and d’artagnan .,"('remain', 'rester', 'quedar')",1,1,1,1.0
71,71,"no one that shall ever read this account will expect that i should be able to describe the horrors of my soul at this terrible vision . i mean , that even while it was a dream , i even dreamed of those horrors . nor is it any more possible to describe the impression that remained upon my mind when i awaked , and found it was but a dream .","('remain', 'rester', 'quedar')",1,56,1,0.0
72,72,"for a moment she remained trembling and reeling to and fro upon the threshold — then , with a low moaning cry , fell heavily inward upon the person of her brother , and in her violent and now final death - agonies , bore him to the floor a corpse , and a victim to the terrors he had anticipated .","('remain', 'rester', 'permanecer')",2,4,2,0.0
73,73,"pencroft , herbert , and gideon spilett remained silent in the midst of the darkness .","('remain', 'rester', 'quedar')",1,7,1,0.0
74,74,""" at any rate , "" said the engineer , "" we are obliged to wait some time , and to remain at the corral until we can carry herbert without danger to granite house . ""","('remain', 'rester', 'permanecer')",2,21,2,1.0
75,75,"she then turned to the right , followed the course of a long corridor , descended a flight , went a few steps farther , introduced a key into a lock , opened a door , and pushed the duke into an apartment lighted only by a lamp , saying , "" remain here , my lord duke ; someone will come . ""","('remain', 'rester', 'quedar')",1,52,1,1.0
76,76,"for two days no one knew what had become of her , and everything remained in suspense ; but once free , and placed in communication with laporte , matters resumed their course , and she accomplished the perilous enterprise which , but for her arrest , would have been executed three days earlier .","('remain', 'rester', 'quedar')",1,14,1,0.0
77,77,"buckingham remained for a moment dazzled . never had anne of austria appeared to him so beautiful , amid balls , fetes , or carousals , as she appeared to him at this moment , dressed in a simple robe of white satin , and accompanied by donna estafania -- the only one of her spanish women who had not been driven from her by the jealousy of the king or by the persecutions of richelieu .","('remain', 'rester', 'permanecer')",2,1,2,0.0
78,78,"there was then scarcely any doubt that , if the castaway was dead , no trace of his body now remained , but that some wild beast had probably devoured it to the last bone .","('remain', 'rester', 'quedar')",1,20,1,3.0
79,79,""" then perhaps it would be best , "" said the reporter , "" to remain a day longer on tabor island , so as to collect all that may be useful to us . ""","('remain', 'rester', 'permanecer')",2,15,2,1.0
80,80,porthos and aramis remained behind to encounter the jokes of the dragoon and the swiss .,"('remain', 'rester', 'quedar')",1,3,1,1.0
81,81,"athos alone remained unmoved , as if no danger hovered over him , and as if he breathed his customary atmosphere .","('remain', 'rester', 'permanecer')",0,2,2,0.0
82,82,"but at the moment the glass touched her lips , her hand remained suspended ; she heard something on the road which sounded like the rattling of a distant gallop . then it grew nearer , and it seemed to her , almost at the same time , that she heard the neighing of horses .","('remain', 'rester', 'quedar')",1,12,1,0.0
83,83,"mme . bonacieux remained standing , mute , motionless , and pale as a statue .","('remain', 'rester', 'permanecer')",0,3,2,0.0
84,84,"d’artagnan , entirely overcome by this terrible story , remained motionless and mute , while all the demons of anger and jealousy were howling in his heart .","('remain', 'rester', 'quedar')",1,9,1,0.0
85,85,"if free , would he attempt to fly , or would he remain ?","('remain', 'rester', 'quedar')",1,12,1,1.0
86,86,"that day , january 21 , 1868 , the chief officer went at noon to take the sun 's altitude . i climbed onto the platform , lit a cigar , and watched him at work . it seemed obvious to me that this man did n't understand french , because i made several remarks in a loud voice that were bound to provoke him to some involuntary show of interest had he understood them ; but he remained mute and emotionless .","('remain', 'rester', 'permanecer')",2,78,2,0.0
87,87,"evidently there was nothing to be done , for the time at least , but to take him on board the "" bonadventure . "" this was done , and he remained there in pencroft 's charge .","('remain', 'rester', 'quedar')",1,31,1,1.0
88,88,"d’artagnan , then , remained majestic and intact in his susceptibility , till he came to this unlucky city of meung .","('remain', 'rester', 'permanecer')",0,4,2,0.0
89,89,"his quiet manner and the ironical expression of his countenance redoubled the mirth of the persons with whom he had been talking , and who still remained at the window .","('remain', 'rester', 'quedar')",1,26,1,1.0
90,90,"the three friends remained mute -- for although the voice as well as the countenance reminded them of someone they had seen , they could not remember under what circumstances .","('remain', 'rester', 'permanecer')",2,3,2,0.0
91,91,the young man remained immovable .,"('remain', 'rester', 'permanecer')",2,3,2,0.0
92,92,"it was accordingly settled that for a few days they would remain at the chimneys so as to prepare themselves for an expedition , either along the shore or into the interior of the country .","('remain', 'rester', 'quedar')",1,11,1,1.0
93,93,the reporter accordingly remained behind .,"('remain', 'rester', 'quedar')",1,3,1,1.0
94,94,it is to be remembered that eleven crowns was just the sum that remained in d’artagnan ’s purse .,"('remain', 'rester', 'quedar')",1,13,1,1.0
95,95,"he had not chatted ten minutes with the people of the tavern before he learned that a woman had come there alone about eleven o’clock the night before , had engaged a chamber , had sent for the master of the hotel , and told him she desired to remain some time in the neighborhood .","('remain', 'rester', 'permanecer')",0,49,2,1.0
96,96,"there remained , then , no other place to fear but the traitor ’s cross ; the carriage was taking the direct road to it .","('remain', 'rester', 'quedar')",1,1,1,2.0
97,97,"' all right , ' said the cat ; and this time it vanished quite slowly , beginning with the end of the tail , and ending with the grin , which remained some time after the rest of it had gone .","('remain', 'rester', 'permanecer')",0,32,2,0.0
98,98,"milady remained thoughtful and undecided for a moment ; then , as if appearing to have formed a resolution , she said , "" i have an enemy . ""","('remain', 'rester', 'permanecer')",2,1,2,0.0
99,99,"he remained on the bench , with his back leaning against the wall and his hands hanging down , exactly on the spot where the guards placed him .","('remain', 'rester', 'permanecer')",2,1,2,1.0
100,100,""" am i , then , to remain here eternally ? "" demanded milady , with a certain terror .","('remain', 'rester', 'permanecer')",0,7,2,1.0
101,101,"the poor mercer remained standing at the door , while the eyes of the personage we have just described were fixed upon him , and appeared to wish to penetrate even into the depths of the past .","('remain', 'rester', 'permanecer')",0,3,2,1.0
102,102,"then he rushed to the side of the plateau which overlooked the sea , and remained there a long time motionless .","('remain', 'rester', 'permanecer')",0,15,2,0.0
103,103,"spilett remained in granite house with herbert and pencroft , while cyrus harding , accompanied by neb , proceeded to judge for himself of the extent of the disaster .","('remain', 'rester', 'permanecer')",0,1,2,1.0
104,104,"for two hours the stranger remained alone on the shore , evidently under the influence of recollections which recalled all his past life -- a melancholy life doubtless -- and the colonists , without losing sight of him , did not attempt to disturb his solitude .","('remain', 'rester', 'permanecer')",0,5,2,0.0
105,105,"milady remained for some minutes in the same position , for she thought they might perhaps be examining her through the keyhole ; she then slowly raised her head , which had resumed its formidable expression of menace and defiance , ran to the door to listen , looked out of her window , and returning to bury herself again in her large armchair , she reflected .","('remain', 'rester', 'permanecer')",0,1,2,1.0
106,106,"at nightfall he did not return to the room assigned to him , but remained under some clump of trees , or when the weather was bad crouched in some cleft of the rocks .","('remain', 'rester', 'permanecer')",2,14,2,1.0
107,107,"every one drew back , and the man in the red cloak remained standing alone in the middle of the room .","('remain', 'rester', 'permanecer')",2,12,2,0.0
108,108,"the reporter and his companions remained thus for a few minutes , overwhelmed by the wind , drenched by the rain , blinded by the sand .","('remain', 'rester', 'permanecer')",0,5,2,1.0
109,109,"the ladders , which were formerly used for the ascent , were brought to the chimneys and buried deep in the sand , so that they might be available on the return of the colonists , for the machinery of the lift had been taken to pieces , and nothing of the apparatus remained .","('remain', 'rester', 'quedar')",1,53,1,3.0
110,110,"the door had remained open , so strong was the excitement produced by the arrival of athos , whose wound , though kept as a secret , was known to all .","('remain', 'rester', 'quedar')",1,3,1,0.0
111,111,"herbert clasped his hands , and remained motionless .","('remain', 'rester', 'permanecer')",0,6,2,0.0
112,112,"an instant after , porthos and aramis re - entered , the surgeon and m. de treville alone remaining with the wounded .","('remain', 'rester', 'quedar')",1,18,1,1.0
113,113,"then m. de treville made a sign with his hand , and all retired except d’artagnan , who did not forget that he had an audience , and with the tenacity of a gascon remained in his place .","('remain', 'rester', 'permanecer')",0,34,2,0.0
114,114,"the boat moved off toward the left - hand shore of the lys , bearing the guilty woman and the executioner ; all the others remained on the right - hand bank , where they fell on their knees .","('remain', 'rester', 'permanecer')",0,25,2,1.0
115,115,"she was struck , no doubt , with a superstitious idea ; she conceived that heaven denied its aid , and she remained in the attitude in which she had fallen , her head drooping and her hands clasped .","('remain', 'rester', 'permanecer')",2,22,2,0.0
116,116,"he was seized with a sort of trembling , and remained a few moments without being able to articulate a word .","('remain', 'rester', 'permanecer')",0,10,2,0.0
117,117,"neb took one of the oars , herbert the other , and pencroft remained in the stern in order to use the scull .","('remain', 'rester', 'permanecer')",2,13,2,1.0
118,118,"as to d’artagnan , he remained perfectly insensible to the enthusiasm of the two men in black .","('remain', 'rester', 'permanecer')",0,5,2,0.0
119,119,"d’artagnan remained alone in front of the cardinal ; this was his second interview with richelieu , and he afterward confessed that he felt well assured it would be his last .","('remain', 'rester', 'permanecer')",2,1,2,0.0
120,120,"richelieu remained standing , leaning against the mantelpiece ; a table was between him and d’artagnan .","('remain', 'rester', 'permanecer')",2,1,2,0.0
121,121,"the colonists remained , therefore , near the cart , and carefully watched the neighboring parts of the forest .","('remain', 'rester', 'permanecer')",0,2,2,1.0
122,122,felton remained behind ; he held a book in his hand .,"('remain', 'rester', 'quedar')",1,1,1,1.0
123,123,neb remained at the onagers ' heads to hold them .,"('remain', 'rester', 'quedar')",1,1,1,1.0
124,124,"the young officer , however , remained mute and motionless ; his look alone had spoken .","('remain', 'rester', 'permanecer')",0,6,2,0.0
