English,French,Spanish
"Towards eleven o'clock, the lower region of the air was sensibly clearer.","Vers onze heures, la partie inférieure de l'air s'était sensiblement nettoyée.","Hacia las once, la parte inferior del aire se había despejado mucho."
The atmosphere threw off that chilly dampness which is felt after the passage of a great meteor.,"L'atmosphère dégageait cette limpidité humide qui se voit, qui se sent même, après le passage des grands météores.","La atmósfera despedía esa limpidez húmeda que se ve, que se siente después del paso de los grandes meteoros."
"It appeared to have exhausted itself. Could it have passed away in electric sheets, as is sometimes the case with regard to the typhoons of the Indian Ocean?","Il paraissait s'être tué lui-même. Peut-être s'était-il écoulé en nappes électriques, après la rupture de la trombe, ainsi qu'il arrive quelquefois aux typhons de l'océan Indien.","No parecía que el huracán hubiese ido más lejos en el oeste; al contrario, parecía que se había disipado por sí mismo; tal vez se había desvanecido en corrientes eléctricas, después de la rotura de la tromba, como sucede a veces a los tifones del océano Indico."
"But at the same time, it was also evident that the balloon was again slowly descending with a regular movement.","Mais, vers cette heure-là aussi, on eût pu constater, de nouveau, que le ballon s'abaissait lentement, par un mouvement continu, dans les couches inférieures de l'air.","Pero hacia esa hora también se pudo comprobar de nuevo que el globo bajaba lentamente, por un movimiento continuo en las capas inferiores del aire."
"It appeared as if it were, little by little, collapsing, and that its case was lengthening and extending, passing from a spherical to an oval form.","Il semblait même qu'il se dégonflait peu à peu, et que son enveloppe s'allongeait en se distendant, passant de la forme sphérique à la forme ovoïde.","Parecía que se deshinchaba poco a poco y que su envoltura se alargaba dilatándose, pasando de la forma esférica a la forma oval."
"Towards midday the balloon was hovering above the sea at a height of only 2,000 feet. It contained 50,000 cubic feet of gas, and, thanks to its capacity, it could maintain itself a long time in the air, although it should reach a great altitude or might be thrown into a horizontal position.","Vers midi, l'aérostat ne planait plus qu'à une hauteur de deux mille pieds au-dessus de la mer. Il jaugeait cinquante mille pieds cubes, et, grâce à sa capacité, il avait évidemment pu se maintenir longtemps dans l'air, soit qu'il eût atteint de grandes altitudes, soit qu'il se fût déplacé suivant une direction horizontale.","Hacia mediodía, el aerostato se cernía a una altura de dos mil pies sobre el mar. Medía cincuenta mil pies cúbicos, y gracias a su capacidad había podido mantenerse largo tiempo en el aire, bien porque hubiese alcanzado grandes latitudes, bien porque se había movido siguiendo una dirección horizontal."
"Perceiving their danger, the passengers cast away the last articles which still weighed down the car, the few provisions they had kept, everything, even to their pocket-knives, and one of them, having hoisted himself on to the circles which united the cords of the net, tried to secure more firmly the lower point of the balloon.","En ce moment, les passagers jetèrent les derniers objets qui alourdissaient encore, la nacelle, les quelques vivres qu'ils avaient conservés, tout, jusqu'aux menus ustensiles qui garnissaient leurs poches, et l'un d'eux, s'étant hissé sur le cercle auquel se réunissaient les cordes du filet, chercha à lier solidement l'appendice inférieur de l'aérostat.","En aquel momento los pasajeros arrojaron los últimos objetos que aún pesaban en la barquilla, los pocos víveres que habían conservado, todo, hasta los pequeños utensilios que guardaban en sus bolsillos, y uno de ellos, alzándose sobre el círculo en el que se reunían las cuerdas de la red, trató de atar sólidamente el apéndice inferior del aerostato."
"It was, however, evident to the voyagers that the gas was failing, and that the balloon could no longer be sustained in the higher regions.","Il était évident que les passagers ne pouvaient plus maintenir le ballon dans les zones élevées, et que le gaz leur manquait!",Era evidente que los pasajeros no podían mantener más el globo en las zonas altas y que les faltaba el gas.
"They must infallibly perish! There was not a continent, nor even an island, visible beneath them.","Ils étaient donc perdus! en effet, ce n'était ni un continent, ni même une île, qui s'étendait au-dessous d'eux.","¿Estaban, pues, perdidos? En efecto, no era ni un continente, ni una isla lo que se extendía debajo de ellos."
"The watery expanse did not present a single speck of land, not a solid surface upon which their anchor could hold.","L'espace n'offrait pas un seul point d'atterrissement, pas une surface solide sur laquelle leur ancre pût mordre.","El espacio no ofrecía ni un solo punto para aterrizar, ni una superficie sólida en la que su áncora pudiera morder."
"It was the open sea, whose waves were still dashing with tremendous violence!","C'était l'immense mer, dont les flots se heurtaient encore avec une incomparable violence!","¡Era el inmenso mar, cuyas olas se chocaban con incomparable violencia!"
"It was the ocean, without any visible limits, even for those whose gaze, from their commanding position, extended over a radius of forty miles.","C'était l'Océan sans limites visibles, même pour eux, qui le dominaient de haut et dont les regards s'étendaient alors sur un rayon de quarante milles!","¡Era el océano sin límites, hasta para ellos que lo dominaban desde lo alto y cuyas miradas abarcaban entonces un radio de cuarenta millas!"
"The vast liquid plain, lashed without mercy by the storm, appeared as if covered with herds of furious chargers, whose white and disheveled crests were streaming in the wind.","C'était cette plaine liquide, battue sans merci, fouettée par l'ouragan, qui devait leur apparaître comme une chevauchée de lames échevelées, sur lesquelles eût été jeté un vaste réseau de crêtes blanches!","¡Era la llanura líquida, golpeada sin misericordia, azotada por el huracán, que les debía parecer como una multitud inmensa de olas desenfrenadas sobre las cuales se hubiera arrojado una vasta red de crestas blancas!"
"No land was in sight, not a solitary ship could be seen.","Pas une terre en vue, pas un navire!","¡Ni una tierra se veía, ni un buque!"
"It was necessary at any cost to arrest their downward course, and to prevent the balloon from being engulfed in the waves. The voyagers directed all their energies to this urgent work.","Il fallait donc, à tout prix, arrêter le mouvement descensionnel, pour empêcher que l'aérostat ne vînt s'engloutir au milieu des flots. Et c'était évidemment à cette urgente opération que s'employaient les passagers de la nacelle.","Era menester, pues, a toda costa, detener el movimiento de descenso, para impedir que el aerostato se hundiese en medio de las olas, y en esa a todas luces urgente operación se ocuparon los pasajeros de la barquilla."
"But, notwithstanding their efforts, the balloon still fell, and at the same time shifted with the greatest rapidity, following the direction of the wind, that is to say, from the northeast to the southwest.","Mais, malgré leurs efforts, le ballon s'abaissait toujours, en même temps qu'il se déplaçait avec une extrême vitesse, suivant la direction du vent, c'est-à-dire du nord-est au sud-ouest.","Pero, a pesar de sus esfuerzos, el globo bajaba cada vez más, al mismo tiempo que se movía con extrema celeridad, siguiendo la dirección del viento, es decir, de nordeste a sudoeste."
Frightful indeed was the situation of these unfortunate men.,"Situation terrible, que celle de ces infortunés!",Situación terrible la de aquellos infortunados.
They were evidently no longer masters of the machine.,Ils n'étaient évidemment plus maîtres de l'aérostat.,Evidentemente no eran dueños del aerostato.
All their attempts were useless.,Leurs tentatives ne pouvaient aboutir.,Sus tentativas no tuvieron resultado.
The case of the balloon collapsed more and more.,L'enveloppe du ballon se dégonflait de plus en plus.,"La cubierta del globo se deshinchaba, el fluido se escapaba sin que fuera posible retenerlo."
"Their descent was visibly accelerated, and soon after midday the car hung within 600 feet of the ocean.","La descente s'accélérait visiblement, et, à une heure après midi, la nacelle n'était pas suspendue à plus de six cents pieds au-dessus de l'Océan.","El descenso se aceleraba visiblemente y, a la una de la tarde, la barquilla no estaba suspendida a más de seiscientos pies sobre el océano."
"It was impossible to prevent the escape of gas, which rushed through a large rent in the silk.","C'est que, en effet, il était impossible d'empêcher la fuite du gaz, qui s'échappait librement par une déchirure de l'appareil.","Era, en efecto, imposible impedir la huida del gas, que se escapaba libremente por una rasgadura del aparato."
"By lightening the car of all the articles which it contained, the passengers had been able to prolong their suspension in the air for a few hours.","En allégeant la nacelle de tous les objets qu'elle contenait, les passagers avaient pu prolonger, pendant quelques heures, leur suspension dans l'air.","Aligerando la barquilla de todos los objetos que contenía, los pasajeros pudieron prolongar, durante algunas horas, su suspensión en el aire."
"But the inevitable catastrophe could only be retarded, and if land did not appear before night, voyagers, car, and balloon must to a certainty vanish beneath the waves.","Mais l'inévitable catastrophe ne pouvait qu'être retardée, et, si quelque terre ne se montrait pas avant la nuit, passagers, nacelle et ballon auraient définitivement disparu dans les flots.","Pero la inevitable catástrofe no podía tardar y, si no aparecía alguna tierra antes de la noche, los pasajeros, barquilla y globo habrían desaparecido definitivamente en las olas."
They now resorted to the only remaining expedient.,La seule manoeuvre qu'il y eût à faire encore fut faite à ce moment.,La sola maniobra que quedaba por hacer fue hecha en aquel momento.
"They were truly dauntless men, who knew how to look death in the face.","Les passagers de l'aérostat étaient évidemment des gens énergiques, et qui savaient regarder la mort en face.","Los pasajeros del aerostato eran, sin duda, gente enérgica y sabían mirar la muerte cara a cara."
Not a single murmur escaped from their lips.,On n'eût pas entendu un seul murmure s'échapper de leurs lèvres.,No se oyó ni un solo murmullo escaparse de sus labios.
"They were determined to struggle to the last minute, to do anything to retard their fall.","Ils étaient décidés à lutter jusqu'à la dernière seconde, à tout faire pour retarder leur chute.","Estaban decididos a luchar hasta el último segundo, y hacían todo lo que podían para retrasar su caída."
"The car was only a sort of willow basket, unable to float, and there was not the slightest possibility of maintaining it on the surface of the sea.","La nacelle n'était qu'une sorte de caisse d'osier, impropre à flotter, et il n'y avait aucune possibilité de la maintenir à la surface de la mer, si elle y tombait.","La barquilla era una especie de caja de mimbre, impropia para flotar, y no había posibilidad de mantenerse en la superficie del mar, si caía."
Two more hours passed and the balloon was scarcely 400 feet above the water.,"À deux heures, l'aérostat était à peine à quatre cents pieds au- dessus des flots.",A las dos el aerostato estaba apenas a cuatrocientos pies sobre las olas.
"At that moment a loud voice, the voice of a man whose heart was inaccessible to fear, was heard.","En ce moment, une voix mâle -- la voix d'un homme dont le coeur était inaccessible à la crainte -- se fit entendre.",En aquel momento una voz varonil –la voz de un hombre cuyo corazón era inaccesible al temor–se oyó.
To this voice responded others not less determined.,À cette voix répondirent des voix non moins énergiques.,A esta voz respondieron voces no menos enérgicas. –¿Se ha arrojado todo? –¡No!
"""No, here are still 2,000 dollars in gold.""",Il y a encore dix mille francs d'or!»,¡Aún quedan dos mil francos en oro!
A heavy bag immediately plunged into the sea.,Un sac pesant tomba aussitôt à la mer.,Un saquito pesado cayó entonces al mar.
"""Does the balloon rise?"" ""A little, but it will not be long before it falls again.""","«Le ballon se relève-t-il? -- Un peu, mais il ne tardera pas à retomber!","–¿Se eleva el globo? –¡Un poco, pero no tardará en volver a caer!"
"""What still remains to be thrown out?""",-- Que reste-t-il à jeter au dehors? -- Rien!,–¿Qué lastre nos queda? –¡Ninguno!
"""Nothing.""",-- Si!...,–¡Sí!...
"""Yes! the car!"" ""Let us catch hold of the net, and into the sea with the car.""",La nacelle! -- Accrochons-nous au filet! et à la mer la nacelle!»,"¡La barquilla! –¡Acomodémonos en la red y, al mar, la barquilla!"
"This was, in fact, the last and only mode of lightening the balloon.","C'était, en effet, le seul et dernier moyen d'alléger l'aérostat.","Era, en efecto, el único y último medio de aligerar el aerostato."
"The ropes which held the car were cut, and the balloon, after its fall, mounted 2,000 feet.","Les cordes qui rattachaient la nacelle au cercle furent coupées, et l'aérostat, après sa chute, remonta de deux mille pieds.","Las cuerdas que sostenían la barquilla al círculo fueron cortadas, y el aerostato, después de la caída de aquélla, remontó dos mil pies."
"The five voyagers had hoisted themselves into the net, and clung to the meshes, gazing at the abyss.","Les cinq passagers s'étaient hissés dans le filet, au-dessus du cercle, et se tenaient dans le réseau des mailles, regardant l'abîme.","Los cinco pasajeros que se habían metido en la red, encima del círculo, y se sostenían en los hilos de las mallas miraban el abismo."
The delicate sensibility of balloons is well known.,On sait de quelle sensibilité statique sont doués les aérostats.,Es conocida la sensibilidad estática de los aerostatos.
It is sufficient to throw out the lightest article to produce a difference in its vertical position.,Il suffit de jeter l'objet le plus léger pour provoquer un déplacement dans le sens vertical.,Bastaba arrojar el objeto más ligero para provocar un movimiento en sentido vertical.
The apparatus in the air is like a balance of mathematical precision.,"L'appareil, flottant dans l'air, se comporte comme une balance d'une justesse mathématique.","El aparato, flotando en el aire, obra como una balanza de exactitud matemática."
It can be thus easily understood that when it is lightened of any considerable weight its movement will be impetuous and sudden.,"On comprend donc que, lorsqu'il est délesté d'un poids relativement considérable, son déplacement soit important et brusque.","Se comprende que, aligerado de un peso relativamente considerable, su movimiento sea importante y brusco."
So it happened on this occasion.,C'est ce qui arriva dans cette occasion.,Fue lo que pasó en aquella ocasión.
"But after being suspended for an instant aloft, the balloon began to redescend, the gas escaping by the rent which it was impossible to repair.","Mais, après s'être un instant équilibré dans les zones supérieures, l'aérostat commença à redescendre. Le gaz fuyait par la déchirure, qu'il était impossible de réparer.","Pero, después de estar un instante equilibrado en las zonas superiores, el aerostato volvió a descender. El gas se escapaba por una rasgadura imposible de reparar."
The men had done all that men could do.,Les passagers avaient fait tout ce qu'ils pouvaient faire.,Los pasajeros habían hecho todo lo posible.
No human efforts could save them now.,Aucun moyen humain ne pouvait les sauver désormais.,Ningún medio humano podía salvarles.
They must trust to the mercy of Him who rules the elements.,Ils n'avaient plus à compter que sur l'aide de Dieu.,Sólo tenían que contar con la ayuda de Dios.
At four o'clock the balloon was only 500 feet above the surface of the water.,"À quatre heures, le ballon n'était plus qu'à cinq cents pieds de la surface des eaux.",A las cuatro el globo estaba a quinientos pies sobre la superficie de las aguas.
A loud barking was heard.,Un aboiement sonore se fit entendre.,Se oyó un ladrido.
"A dog accompanied the voyagers, and was held pressed close to his master in the meshes of the net.",Un chien accompagnait les passagers et se tenait accroché près de son maître dans les mailles du filet.,"Un perro, que acompañaba a los pasajeros, estaba asido, cerca de su dueño, a las mallas de la red."
"""Top has seen something,"" cried one of the men.",«Top a vu quelque chose!» s'écria l'un des passagers.,–¡Top ha visto alguna cosa! –exclamó uno de los pasajeros.
"Then immediately a loud voice shouted,--","Puis, aussitôt, une voix forte se fit entendre:",Poco rato después se oyó una voz fuerte que decía:
"""Land! land!""",«Terre! terre!»,–¡Tierra!
"The balloon, which the wind still drove towards the southwest, had since daybreak gone a considerable distance, which might be reckoned by hundreds of miles, and a tolerably high land had, in fact, appeared in that direction.","Le ballon, que le vent ne cessait d'entraîner vers le sud-ouest, avait, depuis l'aube, franchi une distance considérable, qui se chiffrait par centaines de milles, et une terre assez élevée venait, en effet, d'apparaître dans cette direction.","¡Tierra! El globo, arrastrado sin cesar por el viento hacia el sudoeste, después del alba había franqueado una distancia considerable, unos centenares de millas, y una tierra elevada acababa, en efecto, de aparecer en aquella dirección."
But this land was still thirty miles off.,Mais cette terre se trouvait encore à trente milles sous le vent.,Pero aquélla tierra se encontraba aún a treinta millas a sotavento.
"It would not take less than an hour to get to it, and then there was the chance of falling to leeward.","Il ne fallait pas moins d'une grande heure pour l'atteindre, et encore à la condition de ne pas dériver.","Faltaba más de una hora para llegar a ella, con la condición de no desviarse."
An hour!,Une heure!,¡Una hora!
Might not the balloon before that be emptied of all the fluid it yet retained?,Le ballon ne se serait-il pas auparavant vidé de tout ce qu'il avait gardé de son fluide?,¿No se habría escapado ya el fluido que les quedaba?
Such was the terrible question!,Telle était la terrible question!,¡Este era el problema!
The voyagers could distinctly see that solid spot which they must reach at any cost.,"Les passagers voyaient distinctement ce point solide, qu'il fallait atteindre à tout prix.","Los pasajeros veían distintamente aquel punto sólido, que era menester alcanzar a toda costa."
"They were ignorant of what it was, whether an island or a continent, for they did not know to what part of the world the hurricane had driven them.","Ils ignoraient ce qu'il était, île ou continent, car c'est à peine s'ils savaient vers quelle partie du monde l'ouragan les avait entraînés!","Ignoraban lo que era, isla o continente, porque apenas sabían hacia qué parte del mundo el huracán los había arrastrado."
"But they must reach this land, whether inhabited or desolate, whether hospitable or not.","Or, à quatre heures, il était visible que le ballon ne pouvait plus se soutenir.",Cerca de las cuatro el globo no podía sostenerse.
It was evident that the balloon could no longer support itself!,CHAPITRE II Il rasait la surface de la mer.,"Rozaba la superficie del mar. Las crestas de las enormes olas habían lamido muchas veces la parte inferior de la red, haciéndola aún más pesada, y el aerostato no se levantaba sino a medias, como un pájaro que tiene plomo en las alas."
"Half an hour later the land was not more than a mile off, but the balloon, exhausted, flabby, hanging in great folds, had gas in its upper part alone.","Une demi-heure plus tard, la terre n'était plus qu'à un mille, mais le ballon, épuisé, flasque, distendu, chiffonné en gros plis, ne conservait plus de gaz que dans sa partie supérieure.","Media hora más tarde la tierra no estaba más que a una milla de distancia, pero el globo ajado, flojo, deshinchado, enrollado en gruesos pliegues, sólo conservaba gas en su parte superior."
"The voyagers, clinging to the net, were still too heavy for it, and soon, half plunged into the sea, they were beaten by the furious waves.","Les passagers, accrochés au filet, pesaient encore trop pour lui, et bientôt, à demi plongés dans la mer, ils furent battus par les lames furieuses.","Los pasajeros, asidos a la red, pesaban ya demasiado para él, y pronto, medio sumergidos en el mar, fueron golpeados por las furiosas olas."
"The balloon-case bulged out again, and the wind, taking it, drove it along like a vessel.","L'enveloppe de l'aérostat fit poche alors, et le vent s'y engouffrant, le poussa comme un navire vent arrière.","La cubierta del aerostato se infló entonces, y el viento lo empujó, como un buque con viento de popa."
